iter	Passed	Remaining
235	656	4909
236	658	4900
237	660	4893
238	662	4884
239	664	4872
240	666	4867
241	668	4854
242	670	4846
243	672	4837
244	673	4825
245	675	4818
246	678	4814
247	680	4805
248	682	4797
249	683	4787
250	685	4778
251	687	4769
252	690	4765
253	691	4756
254	694	4753
255	696	4744
256	698	4739
257	701	4735
258	705	4742
259	708	4740
260	710	4736
261	712	4727
262	714	4719
263	717	4714
264	718	4707
265	724	4725
266	728	4728
267	730	4721
268	732	4715
269	735	4710
270	737	4703
271	738	4694
272	742	4694
273	743	4684
274	749	4701
275	751	4691
276	754	4693
277	757	4693
278	760	4689
279	761	4678
280	764	4678
281	766	4669
282	768	4662
283	770	4657
284	772	4651
285	774	4643
286	778	4645
287	779	4636
288	781	4629
289	785	4634
290	788	4628
291	789	4620
292	792	4619
293	794	4610
294	796	4602
295	798	4594
296	799	4587
297	802	4582
298	807	4593
299	809	4585
300	811	4580
301	812	4570
302	816	4571
303	817	4562
304	820	4558
305	821	4549
306	826	4555
307	829	4554
308	832	4553
309	833	4546
310	836	4542
311	839	4542
312	842	4538
313	844	4535
314	846	4528
315	847	4518
316	849	4511
317	852	4507
318	856	4514
319	858	4506
320	862	4510
321	864	4502
322	865	4495
323	867	4487
324	869	4481
325	872	4478
326	875	4477
327	876	4469
328	878	4463
329	880	4455
330	882	4448
331	885	4448
332	889	4452
333	891	4446
334	893	4439
335	895	4434
336	897	4430
337	899	4422
338	902	4424
339	904	4418
340	908	4417
341	909	4409
342	912	4407
343	914	4400
344	915	4393
345	917	4384
346	919	4379
347	922	4376
348	923	4370
349	926	4366
350	927	4359
351	929	4350
352	931	4345
353	932	4336
354	934	4330
355	936	4325
356	938	4318
357	939	4309
358	942	4306
359	943	4299
360	945	4292
361	948	4291
362	949	4283
363	951	4275
364	953	4271
365	954	4263
366	956	4257
367	958	4252
368	960	4246
369	963	4242
370	967	4246
371	968	4239
372	972	4242
373	975	4242
374	978	4241
375	980	4236
376	984	4237
377	988	4241
378	991	4239
379	992	4232
380	995	4229
381	997	4225
382	1000	4221
383	1001	4215
384	1003	4209
385	1005	4206
386	1007	4199
387	1009	4192
388	1010	4186
389	1013	4185
390	1015	4179
391	1017	4173
392	1020	4173
393	1024	4175
394	1026	4170
395	1027	4162
396	1030	4162
397	1032	4155
398	1034	4150
399	1036	4147
400	1040	4147
401	1043	4147
402	1045	4143
403	1049	4145
404	1051	4141
405	1054	4141
406	1056	4137
407	1059	4133
408	1061	4130
409	1064	4129
410	1068	4132
411	1071	4129
412	1074	4130
413	1076	4123
414	1079	4123
415	1081	4118
416	1083	4112
417	1085	4108
418	1088	4106
419	1089	4099
420	1092	4097
421	1093	4090
422	1095	4085
423	1098	4082
424	1100	4076
425	1101	4069
426	1103	4063
427	1104	4057
428	1106	4052
429	1108	4046
430	1110	4044
431	1112	4037
432	1113	4031
433	1116	4027
434	1117	4021
435	1119	4014
436	1122	4015
437	1124	4009
438	1126	4006
439	1129	4005
440	1133	4006
441	1135	4002
442	1137	3996
443	1141	3999
444	1143	3996
445	1145	3990
446	1150	3995
447	1152	3992
448	1155	3990
449	1157	3985
450	1161	3990
451	1163	3984
452	1166	3982
453	1168	3980
454	1170	3975
455	1173	3972
456	1174	3966
457	1177	3964
458	1179	3960
459	1181	3953
460	1183	3951
461	1185	3945
462	1190	3951
463	1191	3945
464	1193	3940
465	1195	3935
466	1197	3930
467	1199	3925
468	1201	3923
469	1203	3918
470	1206	3915
471	1209	3914
472	1210	3909
473	1214	3909
474	1217	3909
475	1219	3904
476	1221	3899
477	1222	3893
478	1225	3890
479	1226	3885
480	1228	3880
481	1230	3874
482	1232	3870
483	1235	3869
484	1240	3873
485	1241	3867
486	1244	3865
487	1247	3863
488	1251	3868
489	1254	3865
490	1257	3863
491	1258	3857
492	1262	3859
493	1264	3856
494	1266	3851
495	1268	3846
496	1271	3846
497	1273	3840
498	1274	3834
499	1276	3828
500	1278	3826
501	1280	3821
502	1285	3827
503	1288	3823
504	1290	3819
505	1291	3813
506	1292	3807
507	1294	3803
508	1296	3797
509	1297	3791
510	1299	3786
511	1300	3780
512	1303	3777
513	1304	3771
514	1307	3768
515	1308	3763
516	1311	3762
517	1313	3758
518	1315	3753
519	1316	3747
520	1319	3744
521	1320	3738
522	1321	3732
523	1323	3726
524	1325	3724
525	1327	3719
526	1330	3717
527	1331	3712
528	1334	3712
529	1336	3706
530	1338	3701
531	1340	3699
532	1342	3695
533	1344	3690
534	1346	3686
535	1347	3681
536	1350	3679
537	1351	3673
538	1353	3669
539	1355	3665
540	1357	3660
541	1358	3655
542	1360	3651
543	1362	3646
544	1364	3641
545	1365	3636
546	1368	3634
547	1370	3631
548	1373	3630
549	1375	3625
550	1378	3624
551	1381	3622
552	1382	3618
553	1384	3612
554	1385	3608
555	1387	3603
556	1389	3599
557	1390	3594
558	1393	3592
559	1395	3589
560	1397	3585
561	1400	3584
562	1402	3580
563	1404	3575
564	1406	3571
565	1408	3568
566	1410	3564
567	1411	3559
568	1413	3555
569	1414	3549
570	1417	3548
571	1419	3542
572	1420	3538
573	1424	3537
574	1426	3534
575	1427	3529
576	1430	3527
577	1432	3523
578	1433	3519
579	1436	3516
580	1438	3512
581	1440	3508
582	1443	3508
583	1444	3503
584	1447	3502
585	1449	3497
586	1451	3493
587	1452	3488
588	1455	3486
589	1456	3480
590	1457	3475
591	1459	3470
592	1461	3467
593	1462	3462
594	1463	3456
595	1465	3451
596	1467	3448
597	1468	3443
598	1470	3439
599	1473	3437
600	1474	3433
601	1476	3428
602	1478	3425
603	1479	3420
604	1482	3417
605	1484	3413
606	1485	3410
607	1487	3405
608	1489	3402
609	1491	3397
610	1493	3394
611	1495	3391
612	1497	3388
613	1498	3383
614	1500	3379
615	1503	3378
616	1505	3374
617	1507	3370
618	1510	3368
619	1512	3365
620	1513	3361
621	1515	3357
622	1517	3353
623	1518	3348
624	1521	3347
625	1523	3342
626	1524	3339
627	1526	3334
628	1530	3335
629	1532	3332
630	1535	3330
631	1536	3326
632	1539	3323
633	1541	3320
634	1543	3317
635	1548	3320
636	1550	3317
637	1552	3313
638	1554	3310
639	1556	3306
640	1557	3303
641	1561	3302
642	1563	3300
643	1566	3298
644	1568	3295
645	1571	3294
646	1575	3294
647	1577	3290
648	1579	3288
649	1582	3287
650	1585	3284
651	1586	3280
652	1588	3276
653	1590	3272
654	1591	3268
655	1593	3264
656	1596	3262
657	1597	3258
658	1600	3256
659	1604	3256
660	1607	3256
661	1609	3252
662	1612	3252
663	1615	3250
664	1617	3247
665	1619	3243
666	1621	3241
667	1623	3236
668	1625	3233
669	1626	3229
670	1628	3225
671	1630	3221
672	1631	3217
673	1633	3213
674	1635	3209
675	1636	3205
676	1639	3203
677	1640	3199
678	1642	3195
679	1643	3191
680	1645	3187
681	1647	3183
682	1648	3179
683	1650	3175
684	1652	3172
685	1654	3168
686	1655	3164
687	1657	3161
688	1659	3157
689	1660	3153
690	1664	3153
691	1666	3149
692	1669	3149
693	1671	3145
694	1673	3142
695	1674	3137
696	1676	3134
697	1677	3129
698	1680	3128
699	1684	3129
700	1686	3125
701	1688	3121
702	1689	3117
703	1691	3113
704	1692	3109
705	1696	3108
706	1698	3105
707	1700	3103
708	1702	3100
709	1704	3096
710	1706	3094
711	1708	3090
712	1711	3089
713	1713	3086
714	1715	3083
715	1718	3081
716	1720	3078
717	1721	3073
718	1724	3071
719	1725	3067
720	1727	3063
721	1730	3062
722	1732	3059
723	1733	3055
724	1736	3053
725	1737	3049
726	1739	3046
727	1741	3042
728	1743	3039
729	1744	3035
730	1746	3031
731	1748	3028
732	1750	3025
733	1752	3023
734	1755	3021
735	1757	3018
736	1760	3016
737	1761	3012
738	1763	3009
739	1766	3007
740	1768	3004
741	1770	3001
742	1773	3000
743	1775	2996
744	1777	2993
745	1779	2991
746	1781	2987
747	1782	2983
748	1784	2979
749	1786	2976
750	1787	2973
751	1789	2969
752	1791	2966
753	1792	2962
754	1794	2959
755	1796	2955
756	1798	2952
757	1799	2949
758	1803	2948
759	1805	2946
760	1807	2943
761	1809	2939
762	1811	2936
763	1812	2932
764	1814	2928
765	1815	2925
766	1817	2922
767	1819	2918
768	1821	2916
769	1823	2912
770	1825	2909
771	1826	2906
772	1829	2903
773	1830	2899
774	1832	2896
775	1833	2891
776	1835	2889
777	1837	2885
778	1838	2882
779	1840	2878
780	1842	2876
781	1844	2872
782	1846	2869
783	1847	2865
784	1849	2862
785	1850	2858
786	1854	2858
787	1855	2854
788	1859	2853
789	1861	2851
790	1866	2852
791	1869	2851
792	1872	2850
793	1874	2847
794	1877	2845
795	1880	2844
796	1882	2841
797	1884	2839
798	1886	2835
799	1888	2833
800	1890	2830
801	1892	2827
802	1894	2824
803	1897	2822
804	1899	2819
805	1900	2816
806	1903	2813
807	1904	2809
808	1906	2806
809	1907	2802
810	1910	2801
811	1913	2799
812	1916	2798
813	1918	2795
814	1922	2794
815	1923	2791
816	1925	2788
817	1928	2786
818	1930	2783
819	1931	2779
820	1933	2776
821	1936	2775
822	1938	2772
823	1940	2769
824	1942	2765
825	1943	2762
826	1948	2764
827	1952	2763
828	1955	2762
829	1958	2760
830	1961	2759
831	1964	2757
832	1966	2755
833	1968	2752
834	1972	2752
835	1975	2750
836	1978	2748
837	1980	2745
838	1982	2743
839	1984	2739
840	1986	2737
841	1988	2735
842	1991	2733
843	1993	2730
844	1995	2728
845	1998	2726
846	2000	2723
847	2002	2720
848	2004	2718
849	2006	2715
850	2009	2712
851	2010	2709
852	2015	2710
853	2017	2707
854	2021	2706
855	2022	2703
856	2025	2701
857	2028	2699
858	2030	2696
859	2031	2693
860	2034	2690
861	2037	2689
862	2040	2688
863	2042	2685
864	2044	2682
865	2046	2680
866	2049	2678
867	2054	2679
868	2058	2678
869	2060	2676
870	2062	2673
871	2064	2670
872	2069	2672
873	2072	2669
874	2074	2667
875	2077	2665
876	2078	2662
877	2082	2660
878	2085	2659
879	2086	2655
880	2089	2654
881	2091	2651
882	2093	2647
883	2094	2644
884	2096	2641
885	2098	2638
886	2100	2635
887	2103	2633
888	2107	2633
889	2108	2629
890	2111	2627
891	2114	2626
892	2115	2622
893	2118	2620
894	2120	2617
895	2121	2614
896	2123	2610
897	2125	2607
898	2126	2604
899	2128	2601
900	2131	2599
901	2133	2596
902	2135	2593
903	2136	2590
904	2138	2587
905	2140	2584
906	2141	2581
907	2145	2579
908	2147	2577
909	2150	2576
910	2152	2573
911	2153	2569
912	2156	2567
913	2157	2564
914	2159	2560
915	2161	2557
916	2163	2554
917	2164	2551
918	2166	2548
919	2168	2545
920	2171	2543
921	2172	2540
922	2176	2540
923	2178	2536
924	2180	2534
925	2182	2531
926	2184	2528
927	2185	2524
928	2187	2522
929	2189	2518
930	2190	2515
931	2192	2512
932	2194	2509
933	2195	2506
934	2198	2503
935	2199	2500
936	2202	2498
937	2204	2496
938	2206	2493
939	2207	2489
940	2209	2486
941	2212	2485
942	2214	2482
943	2215	2478
944	2219	2478
945	2225	2479
946	2227	2477
947	2234	2479
948	2236	2476
949	2237	2473
950	2241	2472
951	2244	2471
952	2248	2470
953	2250	2467
954	2252	2464
955	2253	2461
956	2256	2458
957	2257	2455
958	2259	2452
959	2261	2450
960	2263	2447
961	2265	2443
962	2267	2442
963	2269	2438
964	2270	2435
965	2273	2433
966	2274	2430
967	2276	2426
968	2277	2423
969	2279	2420
970	2282	2418
971	2283	2415
972	2286	2413
973	2287	2409
974	2290	2407
975	2292	2405
976	2296	2404
977	2300	2403
978	2303	2402
979	2305	2399
980	2307	2396
981	2311	2396
982	2313	2393
983	2315	2390
984	2317	2387
985	2319	2385
986	2321	2382
987	2323	2379
988	2324	2376
989	2325	2372
990	2328	2370
991	2329	2367
992	2331	2364
993	2334	2362
994	2337	2360
995	2338	2357
996	2340	2354
997	2341	2351
998	2343	2348
999	2346	2346
1000	2349	2344
1001	2352	2342
1002	2355	2341
1003	2357	2338
1004	2359	2336
1005	2361	2333
1006	2363	2330
1007	2364	2327
1008	2368	2326
1009	2371	2324
1010	2373	2322
1011	2375	2319
1012	2377	2316
1013	2378	2313
1014	2380	2310
1015	2382	2307
1016	2385	2305
1017	2387	2302
1018	2390	2301
1019	2392	2298
1020	2396	2298
1021	2398	2295
1022	2400	2292
1023	2403	2290
1024	2405	2287
1025	2406	2284
1026	2408	2281
1027	2410	2278
1028	2412	2276
1029	2414	2273
1030	2416	2271
1031	2417	2268
1032	2420	2266
1033	2422	2263
1034	2424	2260
1035	2425	2257
1036	2428	2255
1037	2430	2252
1038	2431	2249
1039	2433	2246
1040	2435	2243
1041	2436	2240
1042	2439	2238
1043	2440	2235
1044	2442	2232
1045	2443	2228
1046	2446	2226
1047	2448	2223
1048	2449	2221
1049	2451	2218
1050	2453	2215
1051	2454	2212
1052	2458	2211
1053	2460	2208
1054	2465	2208
1055	2467	2205
1056	2471	2205
1057	2474	2202
1058	2479	2202
1059	2484	2203
1060	2487	2201
1061	2491	2200
1062	2495	2199
1063	2500	2199
1064	2502	2197
1065	2504	2194
1066	2507	2192
1067	2508	2189
1068	2510	2186
1069	2513	2184
1070	2516	2183
1071	2518	2180
1072	2521	2178
1073	2522	2175
1074	2525	2172
1075	2527	2170
1076	2530	2168
1077	2532	2165
1078	2534	2163
1079	2536	2160
1080	2538	2157
1081	2540	2155
1082	2541	2152
1083	2543	2149
1084	2545	2146
1085	2547	2143
1086	2549	2141
1087	2551	2138
1088	2553	2135
1089	2554	2132
1090	2556	2130
1091	2558	2127
1092	2560	2124
1093	2562	2122
1094	2564	2119
1095	2565	2116
1096	2569	2115
1097	2571	2112
1098	2572	2109
1099	2575	2107
1100	2577	2104
1101	2580	2102
1102	2581	2099
1103	2583	2096
1104	2585	2093
1105	2587	2091
1106	2589	2088
1107	2590	2085
1108	2592	2083
1109	2594	2079
1110	2596	2077
1111	2597	2074
1112	2600	2072
1113	2601	2069
1114	2604	2067
1115	2606	2064
1116	2608	2062
1117	2610	2059
1118	2612	2056
1119	2613	2053
1120	2616	2051
1121	2618	2049
1122	2620	2046
1123	2622	2043
1124	2624	2041
1125	2625	2038
1126	2627	2035
1127	2628	2032
1128	2631	2029
1129	2633	2027
1130	2637	2026
1131	2638	2023
1132	2640	2020
1133	2642	2017
1134	2643	2014
1135	2645	2012
1136	2647	2009
1137	2648	2006
1138	2650	2003
1139	2654	2002
1140	2656	1999
1141	2657	1996
1142	2660	1994
1143	2661	1991
1144	2663	1988
1145	2664	1985
1146	2666	1983
1147	2668	1980
1148	2670	1977
1149	2672	1975
1150	2674	1973
1151	2676	1970
1152	2678	1967
1153	2679	1964
1154	2681	1961
1155	2682	1958
1156	2685	1956
1157	2686	1953
1158	2688	1950
1159	2690	1948
1160	2692	1945
1161	2694	1943
1162	2696	1940
1163	2698	1938
1164	2700	1935
1165	2702	1933
1166	2704	1930
1167	2705	1927
1168	2707	1924
1169	2710	1922
1170	2712	1920
1171	2713	1917
1172	2716	1914
1173	2717	1911
1174	2719	1909
1175	2720	1906
1176	2722	1903
1177	2723	1900
1178	2725	1898
1179	2727	1895
1180	2729	1892
1181	2730	1889
1182	2732	1887
1183	2734	1884
1184	2736	1881
1185	2737	1878
1186	2740	1877
1187	2742	1874
1188	2745	1872
1189	2746	1869
1190	2748	1866
1191	2751	1864
1192	2753	1862
1193	2755	1860
1194	2757	1857
1195	2762	1856
1196	2765	1855
1197	2768	1853
1198	2771	1851
1199	2772	1848
1200	2775	1846
1201	2779	1845
1202	2781	1842
1203	2784	1840
1204	2786	1838
1205	2787	1835
1206	2789	1832
1207	2791	1830
1208	2793	1827
1209	2794	1824
1210	2797	1822
1211	2801	1821
1212	2803	1818
1213	2804	1816
1214	2807	1814
1215	2809	1811
1216	2811	1808
1217	2814	1807
1218	2817	1804
1219	2819	1802
1220	2823	1801
1221	2825	1799
1222	2828	1796
1223	2830	1794
1224	2833	1792
1225	2837	1791
1226	2841	1790
1227	2844	1788
1228	2848	1786
1229	2851	1785
1230	2854	1783
1231	2858	1781
1232	2861	1780
1233	2863	1777
1234	2865	1774
1235	2866	1771
1236	2868	1769
1237	2870	1766
1238	2872	1764
1239	2875	1762
1240	2876	1759
1241	2878	1756
1242	2881	1754
1243	2885	1753
1244	2888	1751
1245	2889	1748
1246	2892	1746
1247	2896	1745
1248	2900	1744
1249	2902	1741
1250	2904	1739
1251	2908	1737
1252	2911	1735
1253	2913	1732
1254	2916	1731
1255	2918	1728
1256	2920	1726
1257	2922	1723
1258	2924	1721
1259	2926	1718
1260	2927	1715
1261	2929	1713
1262	2933	1711
1263	2935	1709
1264	2937	1706
1265	2939	1704
1266	2941	1701
1267	2943	1698
1268	2944	1696
1269	2948	1694
1270	2972	1704
1271	2975	1703
1272	2980	1701
1273	2987	1702
1274	2992	1701
1275	3003	1704
1276	3009	1703
1277	3013	1702
1278	3019	1702
1279	3021	1699
1280	3026	1698
1281	3031	1697
1282	3035	1696
1283	3042	1696
1284	3046	1694
1285	3049	1693
1286	3054	1692
1287	3057	1689
1288	3059	1687
1289	3061	1685
1290	3065	1683
1291	3066	1680
1292	3068	1677
1293	3071	1675
1294	3073	1672
1295	3075	1670
1296	3078	1668
1297	3080	1665
1298	3081	1663
1299	3083	1660
1300	3085	1657
1301	3087	1655
1302	3089	1652
1303	3090	1649
1304	3092	1647
1305	3094	1644
1306	3097	1642
1307	3098	1639
1308	3100	1636
1309	3103	1634
1310	3105	1631
1311	3106	1628
1312	3108	1626
1313	3110	1623
1314	3112	1621
1315	3115	1619
1316	3116	1616
1317	3118	1613
1318	3120	1611
1319	3122	1608
1320	3124	1605
1321	3125	1603
1322	3127	1600
1323	3129	1597
1324	3130	1594
1325	3132	1592
1326	3134	1589
1327	3136	1587
1328	3138	1584
1329	3140	1581
1330	3141	1579
1331	3143	1576
1332	3146	1574
1333	3147	1571
1334	3149	1568
1335	3153	1567
1336	3156	1565
1337	3158	1562
1338	3160	1560
1339	3162	1557
1340	3164	1554
1341	3165	1552
1342	3168	1550
1343	3170	1547
1344	3172	1545
1345	3178	1544
1346	3180	1541
1347	3182	1539
1348	3184	1536
1349	3186	1534
1350	3189	1532
1351	3190	1529
1352	3192	1526
1353	3194	1524
1354	3196	1521
1355	3198	1518
1356	3200	1516
1357	3202	1513
1358	3204	1511
1359	3205	1508
1360	3207	1505
1361	3209	1503
1362	3211	1500
1363	3213	1498
1364	3215	1495
1365	3217	1493
1366	3219	1490
1367	3220	1487
1368	3222	1485
1369	3224	1482
1370	3227	1480
1371	3230	1478
1372	3231	1475
1373	3233	1473
1374	3235	1470
1375	3236	1467
1376	3238	1465
1377	3240	1462
1378	3242	1460
1379	3243	1457
1380	3246	1455
1381	3248	1452
1382	3250	1450
1383	3252	1447
1384	3254	1445
1385	3255	1442
1386	3258	1440
1387	3259	1437
1388	3261	1434
1389	3264	1432
1390	3266	1430
1391	3267	1427
1392	3270	1425
1393	3272	1422
1394	3274	1420
1395	3275	1417
1396	3278	1415
1397	3281	1412
1398	3283	1410
1399	3284	1407
1400	3286	1405
1401	3288	1402
1402	3289	1399
1403	3291	1397
1404	3294	1395
1405	3295	1392
1406	3297	1389
1407	3299	1387
1408	3302	1385
1409	3304	1382
1410	3308	1381
1411	3310	1378
1412	3313	1376
1413	3315	1373
1414	3317	1371
1415	3318	1368
1416	3322	1366
1417	3325	1364
1418	3329	1363
1419	3331	1360
1420	3333	1358
1421	3334	1355
1422	3337	1353
1423	3338	1350
1424	3340	1347
1425	3342	1345
1426	3344	1342
1427	3346	1340
1428	3349	1338
1429	3350	1335
1430	3353	1333
1431	3355	1331
1432	3357	1328
1433	3358	1325
1434	3360	1323
1435	3362	1320
1436	3364	1318
1437	3366	1315
1438	3368	1313
1439	3370	1310
1440	3372	1308
1441	3374	1305
1442	3376	1303
1443	3377	1300
1444	3379	1298
1445	3381	1295
1446	3382	1292
1447	3384	1290
1448	3386	1287
1449	3388	1285
1450	3391	1283
1451	3396	1282
1452	3400	1279
1453	3403	1277
1454	3405	1275
1455	3407	1272
1456	3409	1270
1457	3411	1268
1458	3415	1266
1459	3416	1263
1460	3418	1261
1461	3420	1258
1462	3423	1256
1463	3425	1254
1464	3427	1251
1465	3429	1249
1466	3432	1247
1467	3435	1244
1468	3436	1242
1469	3440	1240
1470	3442	1237
1471	3443	1235
1472	3446	1232
1473	3447	1230
1474	3452	1229
1475	3454	1226
1476	3457	1224
1477	3459	1221
1478	3461	1219
1479	3463	1216
1480	3465	1214
1481	3467	1211
1482	3468	1209
1483	3471	1207
1484	3473	1204
1485	3476	1202
1486	3478	1200
1487	3480	1197
1488	3481	1194
1489	3484	1192
1490	3486	1190
1491	3488	1187
1492	3490	1185
1493	3492	1182
1494	3496	1181
1495	3498	1178
1496	3500	1176
1497	3502	1173
1498	3505	1171
1499	3507	1169
1500	3509	1166
1501	3511	1164
1502	3512	1161
1503	3516	1159
1504	3520	1157
1505	3521	1155
1506	3523	1152
1507	3525	1150
1508	3529	1148
1509	3531	1146
1510	3533	1143
1511	3534	1140
1512	3536	1138
1513	3538	1135
1514	3539	1133
1515	3541	1130
1516	3543	1128
1517	3545	1125
1518	3547	1123
1519	3549	1120
1520	3551	1118
1521	3552	1115
1522	3554	1113
1523	3556	1110
1524	3558	1108
1525	3559	1105
1526	3562	1103
1527	3563	1100
1528	3565	1098
1529	3566	1095
1530	3569	1093
1531	3570	1090
1532	3572	1088
1533	3574	1085
1534	3577	1083
1535	3578	1080
1536	3580	1078
1537	3584	1076
1538	3587	1074
1539	3588	1071
1540	3590	1069
1541	3592	1067
1542	3594	1064
1543	3595	1062
1544	3598	1059
1545	3600	1057
1546	3602	1054
1547	3603	1052
1548	3605	1049
1549	3607	1047
1550	3609	1044
1551	3612	1042
1552	3614	1040
1553	3617	1038
1554	3619	1035
1555	3620	1033
1556	3623	1030
1557	3624	1028
1558	3626	1025
1559	3627	1023
1560	3630	1021
1561	3635	1019
1562	3637	1016
1563	3638	1014
1564	3641	1012
1565	3643	1009
1566	3647	1007
1567	3649	1005
1568	3652	1003
1569	3655	1001
1570	3657	998
1571	3660	996
1572	3662	994
1573	3663	991
1574	3667	989
1575	3669	987
1576	3672	985
1577	3674	982
1578	3676	980
1579	3678	977
1580	3680	975
1581	3682	972
1582	3684	970
1583	3686	968
1584	3688	965
1585	3689	963
1586	3693	961
1587	3696	959
1588	3701	957
1589	3703	954
1590	3705	952
1591	3706	949
1592	3707	947
1593	3711	945
1594	3713	943
1595	3717	940
1596	3719	938
1597	3721	936
1598	3724	933
1599	3725	931
1600	3728	929
1601	3729	926
1602	3732	924
1603	3734	921
1604	3736	919
1605	3738	917
1606	3740	914
1607	3744	912
1608	3748	910
1609	3749	908
1610	3752	906
1611	3753	903
1612	3755	901
1613	3757	898
1614	3761	896
1615	3763	894
1616	3765	891
1617	3767	889
1618	3768	886
1619	3770	884
1620	3773	882
1621	3774	879
1622	3779	877
1623	3780	875
1624	3784	873
1625	3785	870
1626	3788	868
1627	3791	866
1628	3793	863
1629	3794	861
1630	3796	858
1631	3798	856
1632	3800	854
1633	3802	851
1634	3805	849
1635	3808	847
1636	3810	845
1637	3814	842
1638	3815	840
1639	3817	837
1640	3819	835
1641	3824	833
1642	3826	831
1643	3828	829
1644	3830	826
1645	3831	824
1646	3833	821
1647	3835	819
1648	3838	817
1649	3839	814
1650	3843	812
1651	3846	810
1652	3848	807
1653	3850	805
1654	3852	803
1655	3855	800
1656	3858	798
1657	3862	796
1658	3864	794
1659	3867	792
1660	3872	790
1661	3874	788
1662	3876	785
1663	3881	783
1664	3883	781
1665	3886	779
1666	3887	776
1667	3890	774
1668	3892	772
1669	3894	769
1670	3896	767
1671	3899	764
1672	3901	762
1673	3903	760
1674	3906	757
1675	3907	755
1676	3910	753
1677	3912	750
1678	3914	748
1679	3918	746
1680	3920	743
1681	3924	742
1682	3927	739
1683	3928	737
1684	3931	734
1685	3933	732
1686	3937	730
1687	3939	728
1688	3943	726
1689	3945	723
1690	3949	721
1691	3952	719
1692	3955	717
1693	3956	714
1694	3959	712
1695	3962	710
1696	3964	707
1697	3966	705
1698	3970	703
1699	3973	701
1700	3978	699
1701	3981	697
1702	3985	695
1703	3988	692
1704	3990	690
1705	3993	688
1706	3997	686
1707	3999	683
1708	4001	681
1709	4004	679
1710	4009	677
1711	4011	674
1712	4014	672
1713	4016	670
1714	4018	667
1715	4020	665
1716	4022	662
1717	4023	660
1718	4027	658
1719	4028	655
1720	4031	653
1721	4033	651
1722	4035	648
